
2024/09/21 (13:30:07) | ===> btop++ v.1.3.2
2024/09/21 (13:30:07) | ERROR: Hex value missing: #

2024/09/23 (03:30:02) | ===> btop++ v.1.4.0
2024/09/23 (03:30:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (03:30:04) | ===> btop++ v.1.4.0
2024/09/23 (03:30:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (16:28:45) | ===> btop++ v.1.4.0
2024/09/23 (16:28:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (14:19:22) | ===> btop++ v.1.4.0
2024/09/24 (14:19:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (15:30:43) | ===> btop++ v.1.4.0
2024/09/24 (15:30:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (21:52:11) | ===> btop++ v.1.4.0
2024/09/24 (21:52:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (13:41:30) | ===> btop++ v.1.4.0
2024/09/25 (13:41:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (15:02:13) | ===> btop++ v.1.4.0
2024/09/25 (15:02:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (14:20:53) | ===> btop++ v.1.4.0
2024/09/26 (14:20:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (01:31:15) | ===> btop++ v.1.4.0
2024/09/27 (01:31:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (01:54:20) | ===> btop++ v.1.4.0
2024/09/27 (01:54:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (02:13:19) | ===> btop++ v.1.4.0
2024/09/27 (02:13:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (04:39:15) | ===> btop++ v.1.4.0
2024/09/27 (04:39:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (04:41:56) | ===> btop++ v.1.4.0
2024/09/27 (04:41:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (20:58:02) | ===> btop++ v.1.4.0
2024/09/30 (20:58:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (22:48:16) | ===> btop++ v.1.4.0
2024/09/30 (22:48:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (14:28:11) | ===> btop++ v.1.4.0
2024/10/02 (14:28:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (14:48:41) | ===> btop++ v.1.4.0
2024/10/02 (14:48:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (15:43:25) | ===> btop++ v.1.4.0
2024/10/02 (15:43:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (15:47:16) | ===> btop++ v.1.4.0
2024/10/02 (15:47:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (15:54:17) | ===> btop++ v.1.4.0
2024/10/02 (15:54:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (16:32:01) | ===> btop++ v.1.4.0
2024/10/02 (16:32:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (16:38:46) | ===> btop++ v.1.4.0
2024/10/02 (16:38:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (04:01:41) | ===> btop++ v.1.4.0
2024/10/07 (04:01:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (18:03:59) | ===> btop++ v.1.4.0
2024/10/07 (18:03:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (19:59:59) | ===> btop++ v.1.4.0
2024/10/08 (19:59:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (15:52:09) | ===> btop++ v.1.4.0
2024/10/09 (15:52:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (18:41:02) | ===> btop++ v.1.4.0
2024/10/09 (18:41:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (23:28:04) | ===> btop++ v.1.4.0
2024/10/09 (23:28:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (23:29:03) | ===> btop++ v.1.4.0
2024/10/09 (23:29:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (23:30:32) | ===> btop++ v.1.4.0
2024/10/09 (23:30:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (16:42:49) | ===> btop++ v.1.4.0
2024/10/11 (16:42:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (16:43:22) | ===> btop++ v.1.4.0
2024/10/11 (16:43:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (01:15:56) | ===> btop++ v.1.4.0
2024/10/15 (01:15:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (22:52:14) | ===> btop++ v.1.4.0
2024/10/16 (22:52:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (22:53:36) | ===> btop++ v.1.4.0
2024/10/16 (22:53:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (22:55:03) | ===> btop++ v.1.4.0
2024/10/16 (22:55:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (22:59:19) | ===> btop++ v.1.4.0
2024/10/16 (22:59:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (23:03:23) | ===> btop++ v.1.4.0
2024/10/16 (23:03:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (01:38:23) | ===> btop++ v.1.4.0
2024/10/18 (01:38:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (01:56:36) | ===> btop++ v.1.4.0
2024/10/18 (01:56:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (12:04:08) | ===> btop++ v.1.4.0
2024/10/19 (12:04:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (12:07:10) | ===> btop++ v.1.4.0
2024/10/19 (12:07:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (12:16:38) | ===> btop++ v.1.4.0
2024/10/19 (12:16:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (12:18:19) | ===> btop++ v.1.4.0
2024/10/19 (12:18:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (12:25:21) | ===> btop++ v.1.4.0
2024/10/19 (12:25:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (13:25:44) | ===> btop++ v.1.4.0
2024/10/19 (13:25:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:19:03) | ===> btop++ v.1.4.0
2024/10/19 (14:19:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (00:24:45) | ===> btop++ v.1.4.0
2024/10/23 (00:24:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (00:27:35) | ===> btop++ v.1.4.0
2024/10/23 (00:27:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (12:29:55) | ===> btop++ v.1.4.0
2024/10/23 (12:29:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (10:20:33) | ===> btop++ v.1.4.0
2024/10/29 (10:20:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (14:04:58) | ===> btop++ v.1.4.0
2024/10/29 (14:04:58) | WARNING: Intel GPU: Failed to initialize PMU

